article_id,article_url,article_title,ground_truth_business,ground_truth_address,initial_business,initial_address,initial_confidence,initial_location,web_search_triggered,final_business,final_address,final_confidence,address_source,is_correct,match_reason,web_search_reasoning
0,https://jewelerssecurity.org/jewelry-store-worker-fires-shots-at-suspects-during-armed-robbery/,Jewelry store worker fires shots at subjects during armed robbery,,,Jewelry Store,unknown,low,Other,True,Jewelry Store,unknown,low,,False,,
1,https://jewelerssecurity.org/kensington-md-police-investigating-burglary-at-kensington-jewelry-store/,"KENSINGTON, MD- Police investigating burglary at Kensington jewelry store.",Raffie Jewelers,"3774 Howard Ave, Kensington, MD 20895",Raffie Jewelers,unknown,low,"KENSINGTON, MD",True,Raffie Jewelers,unknown,low,,False,,
2,https://jewelerssecurity.org/atlanta-ga-tennessee-jewelry-stores-targeted-in-1-7-million-heist-spree-trio-sentenced/,"Atlanta, GA- Tennessee jewelry stores targeted in $1.7 million heist spree: trio sentenced.",,,Jewelry Store,unknown,low,Georgia,True,Jewelry Store,unknown,low,,False,,
3,https://jewelerssecurity.org/westchester-county-ny-sledgehammer-wielding-ny-crooks-who-jacked-1-7-million-in-rolex-watches-jewelry-nabbed-in-nj/,"Westchester County, NY – Sledgehammer-wielding NY crooks who jacked $1.7 million in Rolex watches, jewelry nabbed in NJ.",,,Unknown,unknown,low,"Westchester County, NY",True,Unknown,unknown,low,,False,,
4,https://jewelerssecurity.org/woman-dies-during-armed-robbery-of-jewelry-store/,"Jeweler Shot and Killed in Sacramento, CA",Kim Tin Jewelry,"6830 Stockton Blvd, Suite 190, Sacramento, CA 95823",Kim Tin Jewelry,unknown,low,California,True,Kim Tin Jewelry,unknown,low,,False,,
5,https://jewelerssecurity.org/man-pleads-guilty-in-attacks-on-jewelers-in-costa-mesa-and-yorba-linda-california/,"Man Pleads Guilty in Attacks on Jewelers in Costa Mesa and Yorba Linda, California",,,Jewelers,unknown,low,California,True,Jewelers,unknown,low,,False,,
6,https://jewelerssecurity.org/san-diego-california-suspect-sought-in-distraction-theft-of-high-value-watch/,"San Diego, California – Suspect Sought in Distraction Theft of high value watch.",,,Unknown,unknown,low,California,True,Unknown,unknown,low,,False,,
7,https://jewelerssecurity.org/brooklyn-resident-arrested-after-stealing-from-the-ja-new-york-jewelry-show-at-the-jacob-javits-center/,"Brooklyn, NY resident arrested after stealing from a jewelry trade show in New York City",,,Unknown,unknown,low,"Brooklyn, NY",True,Unknown,unknown,low,,False,,
8,https://jewelerssecurity.org/police-looking-for-three-suspects-involved-in-jewelry-store-robbery/,Police looking for three subjects involved in jewelry store robbery,,,Jewelry Store,unknown,low,Other,True,Jewelry Store,unknown,low,,False,,
9,https://jewelerssecurity.org/gastonia-nc-att-burglary-of-jewelry-kiosk/,"GASTONIA, NC – ATT. BURGLARY OF JEWELRY KIOSK.",Jewelry Kiosk at Eastridge Mall,"246 N New Hope Rd, Gastonia, NC 28054",Jewelry Kiosk at Eastridge Mall,unknown,low,"GASTONIA, NC",True,Jewelry Kiosk at Eastridge Mall,unknown,low,,False,,
10,https://jewelerssecurity.org/san-carlos-ca-18-year-old-arrested-in-56000-jewelry-store-robbery/,"San Carlos, CA- : 18-year-old arrested in $56,000 jewelry store robbery.",Home Consignment Center,"1123 Industrial Road, San Carlos, CA 94070",Home Consignment Center,unknown,low,California,True,Home Consignment Center,unknown,low,,False,,
11,https://jewelerssecurity.org/pulallup-wa-burglary-at-the-south-hill-mall/,"PULALLUP, WA- BURGLARY AT THE SOUTH HILL MALL.",South Hill Mall,"3500 S Meridian, Puyallup, WA 98373",South Hill Mall,unknown,low,"PULALLUP, WA",True,South Hill Mall,unknown,low,,False,,
12,https://jewelerssecurity.org/80k-worth-of-jewelry-stolen-from-langley-park-shop-suspect-sought-pgpd/,"$80K Worth Of Jewelry Stolen From Langley Park Shop, Suspect Sought: PGPD",Langley Park Jewelry Store,"1400 University Blvd E, Langley Park, MD 20783",Langley Park Jewelry Store,unknown,low,"LANGLEY PARK, MD",True,Langley Park Jewelry Store,unknown,low,,False,,
13,https://jewelerssecurity.org/miami-dade-county-fla-police-arrest-2-men-in-connection-to-jewelry-store-safe-theft/,Police arrest 2 men in connection to jewelry store safe burglary,,,Jewelry Store,unknown,low,Other,True,Jewelry Store,unknown,low,,False,,
14,https://jewelerssecurity.org/ocala-florida-man-arrested-for-armed-burglary-of-jewelry-store/,"Ocala, Florida man arrested for armed burglary of jewelry store.",,,Jewelry Store,unknown,low,Other,True,Jewelry Store,unknown,low,,False,,
15,https://www.reviewjournal.com/./local/east-valley/,East Valley,,,Unknown,unknown,low,Nevada,True,Unknown,unknown,low,,False,,
16,https://www.reviewjournal.com/crime/courts/las-vegas-police-sergeants-bathroom-videos-were-consensual-women-say-3349200/?utm_rs=IL_HhWFPs-NQI6kG7Pry2IrEw&utm_campaign=widget&utm_medium=most_read,"4Wife, sister-in-law say Las Vegas police sergeant’s bathroom videos were consensual",,,Unknown,unknown,low,Nevada,True,Unknown,unknown,low,,False,,
17,https://www.reviewjournal.com/./crime/,CrimeSection,,,Unknown,unknown,low,Nevada,True,Unknown,unknown,low,,False,,
18,https://www.reviewjournal.com/./local/local-columns/deborah-wall/,Deborah Wall,,,Unknown,unknown,low,Nevada,True,Unknown,unknown,low,,False,,
19,https://www.reviewjournal.com/./crime/sex-crimes/,Sex Crimes,,,Unknown,unknown,low,Nevada,True,Unknown,unknown,low,,False,,
