location,title,date,url,excerpt,source,keywords,is_theft_related,is_business_related
California,"CANOGA PARK, LOS ANGELES, CA-Thieves Target Canoga Park Jewelry Loan Store in Burglary Attempt.",,https://jewelerssecurity.org/canoga-park-los-angeles-ca-thieves-target-canoga-park-jewelry-loan-store-in-burglary-attempt/,"CANOGA PARK, LOS ANGELES, CA- The Los Angeles Police Department’s Topanga Division officers responded to a burglary early Saturday morning...",Jewelers Security Alliance,"burglary,jewelry",True,True
California,"Downey, California -3 Arrested in connection with armed robbery, kidnapping at Downey jewelry store.",,https://jewelerssecurity.org/downey-california-update-3-arrested-in-connection-with-armed-robbery-kidnapping-at-downey-jewelry-store/,"Downey, California– Three men have been arrested in connection with a January armed robbery and kidnapping at a Downey jewelry...",Jewelers Security Alliance,"robbery,jewelry",True,True
California,"Monterey, CA- Caught on Camera: Monterey jeweler loses $20,000 in Valentine’s Day theft.",,https://jewelerssecurity.org/monterey-ca-caught-on-camera-monterey-jeweler-loses-20000-in-valentines-day-theft/,"MONTEREY, Calif. – The owner of a jewelry store in downtown Monterey says he lost $20,000 after a pair stole...",Jewelers Security Alliance,"theft,stole,jewelry,jeweler",True,True
California,"San Carlos, CA- : 18-year-old arrested in $56,000 jewelry store robbery.",,https://jewelerssecurity.org/san-carlos-ca-18-year-old-arrested-in-56000-jewelry-store-robbery/,"San Carlos, California – An 18-year-old suspected of stealing $56,000 in jewelry from a San Carlos store in September 2024,...",Jewelers Security Alliance,"robbery,jewelry",True,True
California,"Los Angelas, CA- $100K in jewelry stolen in Violent Kidnapping, Robbery in Southern California",,https://jewelerssecurity.org/los-angelas-ca-100k-in-jewelry-stolen-in-violent-kidnapping-robbery-in-southern-california/,"LOS ANGELAS (KTLA) – Two men are wanted in connection with a violent robbery in Los Angeles County, in which...",Jewelers Security Alliance,"stolen,robbery,jewelry",True,True
California,"Roseville, CA- 5 men, 1 teen arrested in $1.5 million jewelry robbery at Roseville’s Westfield Galleria mall.",,https://jewelerssecurity.org/roseville-ca-5-men-1-teen-arrested-in-1-5-million-jewelry-robbery-at-rosevilles-westfield-galleria-mall/,"Roseville, CA- Five men and a Rocklin teenager were arrested in connection to a $1.5 million jewelry smash-and-grab robbery that...",Jewelers Security Alliance,"robbery,smash-and-grab,jewelry",True,True
California,"Beverly Hills, CA- Five Arrested After Smash-and-Grab Robbery at Waldorf Astoria Retailer.",,https://jewelerssecurity.org/beverly-hills-ca-five-arrested-after-smash-and-grab-robbery-at-waldorf-astoria-retailer/,"Beverly Hills, CA- On January 10, 2025, a smash-and-grab robbery of a luxury watch retailer on Wilshire Boulevard resulted in...",Jewelers Security Alliance,"robbery,smash-and-grab",True,True
California,"Turlock, California – Surveillance video shows employees held at gunpoint in Turlock pawn shop robbery of jewelry.",,https://jewelerssecurity.org/turlock-california-surveillance-video-shows-employees-held-at-gunpoint-in-turlock-pawn-shop-robbery-of-jewelry/,"Turlock California – Mid Valley Pawn in Turlock reopened Thursday, for the first time after it was robbed. On Saturday,...",Jewelers Security Alliance,"robbery,robbed,jewelry",True,True
California,"Camarillo, CA- GRAB AND RUN.",,https://jewelerssecurity.org/camarillo-ca-grab-and-run/,"Camarillo, CA– On December 06, 2024, A Jewelry store experienced a grab & run theft incident. The suspect is the...",Jewelers Security Alliance,"theft,jewelry",True,True
California,"Citrus, Heights, CA- GRAB AND RUN.",,https://jewelerssecurity.org/citrus-heights-ca-grab-and-run/,"On December 02, 2024, at the Sunrise mall located in Citrus Heights, CA, the suspect, who had visited the store...",Jewelers Security Alliance,,False,True
California,"San Diego, California – Suspect Sought in Distraction Theft of high value watch.",,https://jewelerssecurity.org/san-diego-california-suspect-sought-in-distraction-theft-of-high-value-watch/,"San Diego, CA- On November 21, 2024, a male customer entered a jewelry store and began browsing through the selection...",Jewelers Security Alliance,"theft,jewelry",True,True
California,"Concord, California- 7-8 Suspects use hammers in smash-and-grab robbery at Concord’s Sunvalley mall.",,https://jewelerssecurity.org/concord-california-7-8-suspects-use-hammers-in-smash-and-grab-robbery-at-concords-sunvalley-mall/,"Concord, California-(11/26/2024) Police are investigating a smash-and-grab robbery at the Sunvalley Shopping Center in Concord, located in Northern California.",Jewelers Security Alliance,"robbery,smash-and-grab",True,True
California,"Santa Clarita, CA- 2 men steal thousands of dollars in jewelry from Southern California store in brazen heist.",,https://jewelerssecurity.org/santa-clarita-ca-2-men-steal-thousands-of-dollars-in-jewelry-from-southern-california-store-in-brazen-heist/,"Santa Clarita, CA 11/18/2024- Authorities are searching for a pair of thieves who broke into a jewelry store in Santa...",Jewelers Security Alliance,"steal,jewelry",True,True
California,"Jeweler Shot and Killed in Sacramento, CA",,https://jewelerssecurity.org/woman-dies-during-armed-robbery-of-jewelry-store/,,Jewelers Security Alliance,jeweler,True,True
California,"Brazen Jewelry Store Heist in Walnut Creek Leaves Employee Injured, Suspects at Large.",,https://jewelerssecurity.org/brazen-jewelry-store-heist-in-walnut-creek-leaves-employee-injured-suspects-at-large/,"October 4, 2024 – Walnut Creek, CA – The Walnut Creek Police Department is investigating a bold jewelry store robbery...",Jewelers Security Alliance,"robbery,jewelry",True,True
California,Significant value of jewelry stolen in burglary,,https://jewelerssecurity.org/significant-value-of-jewelry-stolen-in-burglary/,"Antioch, CA- July 24, 2024 – Police are searching for a man captured on surveillance video in a burglary at...",Jewelers Security Alliance,"stolen,burglary,jewelry",True,True
California,"Father’s Day jewelry heist hits West Hollywood shop, 2 safes cleaned out.",,https://jewelerssecurity.org/fathers-day-jewelry-heist-hits-west-hollywood-shop-2-safes-cleaned-out/,"West Hollywood, CA – Sometime between June 17th and 18th 2024, a four-man burglary crew was caught on surveillance cameras...",Jewelers Security Alliance,"burglary,jewelry",True,True
California,Roof penetrating thieves clean out vacationing California family’s jewelry store: ‘It’s a nightmare’,,https://jewelerssecurity.org/roof-penetrating-thieves-clean-out-vacationing-california-familys-jewelry-store-its-a-nightmare/,,Jewelers Security Alliance,jewelry,True,True
California,Wanted for Distraction Theft,,https://jewelerssecurity.org/rancho-cucamonga-ca-distraction-theft-of-jewlery-from-store-at-victoria-gardens-mall/,"Rancho Cucamonga, CA – On the April 21, 2024, at approximately 5:32 pm, a jewelry store experienced a theft of...",Jewelers Security Alliance,"theft,jewelry",True,True
California,"Four East Bay Residents Charged In Street Gang Conspiracy To Commit Violent Robberies Of Bay Area Businesses,",,https://jewelerssecurity.org/oakland-ca-four-east-bay-residents-charged-in-street-gang-conspiracy-to-commit-violent-robberies-of-bay-area-businesses/,"OAKLAND, CA �” April 30, 2024 – A federal grand jury has handed down a superseding indictment alleging Jakari Jenkins,...",Jewelers Security Alliance,robberies,True,True
